FOD_ID,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE,lon,lat
201839951,2013,2013-11-23T00:00:00+00:00,327,Powerline,0.5,-79.50277777999997,37.24222222000003
201839952,2013,2013-03-09T00:00:00+00:00,68,Arson,38.0,-82.68916666999996,36.642222220000065
201839953,2013,2013-03-03T00:00:00+00:00,62,Arson,1.5,-78.70536110999996,38.52191667000005
201839954,2013,2013-04-05T00:00:00+00:00,95,Arson,1.0,-78.13722221999996,39.14166667000006
201839955,2013,2013-04-02T00:00:00+00:00,92,Miscellaneous,52.0,-77.63861110999994,36.56055556000007
201839956,2013,2013-04-09T00:00:00+00:00,99,Debris Burning,1.0,-80.89426110999995,36.65358333000006
201839957,2013,2013-11-13T00:00:00+00:00,317,Equipment Use,0.2,-78.53467499999994,37.13593333000006
201839958,2013,2013-04-17T00:00:00+00:00,107,Smoking,0.1,-77.81833332999997,38.01944444000003
201839959,2013,2013-04-12T00:00:00+00:00,102,Arson,0.1,-77.82722221999995,37.77000000000004
201839960,2013,2013-03-21T00:00:00+00:00,80,Powerline,2.1,-78.48400277999997,37.70721667000004
201839961,2013,2013-11-09T00:00:00+00:00,313,Structure,3.6,-78.10669443999996,37.94444444000004
201839962,2013,2013-04-06T00:00:00+00:00,96,Children,1.0,-78.31055555999995,39.31527778000003
201839963,2013,2013-04-10T00:00:00+00:00,100,Debris Burning,2.0,-78.92666666999997,38.21305556000004
201839964,2013,2013-03-02T00:00:00+00:00,61,Debris Burning,0.1,-77.20222221999995,37.540833330000055
201839965,2013,2013-03-10T00:00:00+00:00,69,Arson,450.0,-82.96249999999998,36.64083333000008
201839966,2013,2013-03-23T00:00:00+00:00,82,Debris Burning,0.6,-77.83591666999996,38.03605556000008
201839967,2013,2013-04-22T00:00:00+00:00,112,Children,1.0,-78.78749999999997,38.424722220000035
201839968,2013,2013-11-15T00:00:00+00:00,319,Miscellaneous,2.0,-78.93333332999998,37.066666670000075
201839969,2013,2013-11-22T00:00:00+00:00,326,Miscellaneous,2.8,-77.17899999999997,37.44505556000007
201839970,2013,2013-03-24T00:00:00+00:00,83,Debris Burning,3.0,-76.64388888999997,37.86944444000005
201839971,2013,2013-04-10T00:00:00+00:00,100,Powerline,2.0,-77.77166666999995,38.69722222000007
201839972,2013,2013-11-23T00:00:00+00:00,327,Miscellaneous,1.0,-78.51499999999999,37.774861110000074
201839973,2013,2013-02-15T00:00:00+00:00,46,Debris Burning,1.0,-80.22999999999996,37.46363889000003
201839974,2013,2013-04-11T00:00:00+00:00,101,Debris Burning,0.1,-78.49222221999997,38.246666670000025
201839975,2013,2013-11-25T00:00:00+00:00,329,Miscellaneous,0.1,-78.25833332999997,39.19583333000003
201839976,2013,2013-12-13T00:00:00+00:00,347,Equipment Use,1.0,-79.66083332999995,36.97916667000004
201839977,2013,2013-04-02T00:00:00+00:00,92,Miscellaneous,0.5,-79.17188888999993,37.098972220000064
201839978,2013,2013-11-24T00:00:00+00:00,328,Equipment Use,0.1,-77.33374999999995,36.924166670000034
201839979,2013,2013-02-15T00:00:00+00:00,46,Debris Burning,2.0,-80.40588888999997,37.44366667000003
201839980,2013,2013-11-10T00:00:00+00:00,314,Miscellaneous,2.5,-79.87019443999998,36.962500000000034
201839981,2013,2013-04-07T00:00:00+00:00,97,Debris Burning,0.3,-78.99805555999995,37.465277780000065
201839982,2013,2013-03-16T00:00:00+00:00,75,Arson,45.0,-83.01927777999998,36.601694440000074
